age_group,year,mortality_rate,data,exp_life_span
0-4,1981,0.002652,observed,377.0739064856712
0-4,1982,0.0024956,observed,400.7052412245552
0-4,1983,0.002388,observed,418.7604690117253
0-4,1984,0.0022876000000000003,observed,437.13936002797686
0-4,1985,0.0022465999999999996,observed,445.1170657883024
0-4,1986,0.0022223000000000004,observed,449.9842505512306
0-4,1987,0.0021977999999999998,observed,455.0004550004551
0-4,1988,0.0021208,observed,471.52018106374953
0-4,1989,0.0020264999999999997,observed,493.4616333580065
0-4,1990,0.0018958999999999998,observed,527.4539796402764
0-4,1991,0.0017464000000000002,observed,572.6065048098945
0-4,1992,0.0016228,observed,616.2188809465122
0-4,1993,0.0015205000000000002,observed,657.6783952647155
0-4,1994,0.0014779,observed,676.6357669666418
0-4,1995,0.0014576,observed,686.059275521405
0-4,1996,0.0014367,observed,696.0395350455906
0-4,1997,0.0014093,observed,709.5721280068119
0-4,1998,0.001381,observed,724.112961622013
0-4,1999,0.0013513,observed,740.0281210686006
0-4,2e3,0.0013296,observed,752.1058965102286
0-4,2001,0.0012886,observed,776.0360080707745
0-4,2002,0.0012769,observed,783.1466833737959
0-4,2003,0.0012505,observed,799.6801279488204
0-4,2004,0.0012257,observed,815.8603247124092
0-4,2005,0.0012000000000000001,observed,833.3333333333333
0-4,2006,0.0011782,observed,848.7523340689188
0-4,2007,0.0011589,observed,862.8872206402623
0-4,2008,0.0011197,observed,893.0963650977941
0-4,2009,0.0010774,observed,928.1603861147206
0-4,2010,0.001042,observed,959.6928982725528
0-4,2011,0.0010026,observed,997.4067424695792
0-4,2012,9.714e-4,observed,1029.4420424130121
0-4,2013,9.338999999999999e-4,observed,1070.7784559374668
0-4,2014,9.15e-4,observed,1092.896174863388
0-4,1931,0.0132887534664028,projected,75.2516029835487
0-4,1932,0.012856626793258906,projected,77.78089977102924
0-4,1933,0.01243855211243427,projected,80.39520926236618
0-4,1934,0.01203407247808312,projected,83.09738883667482
0-4,1935,0.011642745803427439,projected,85.89039191301556
0-4,1936,0.01126414437756638,projected,88.77727117841242
0-4,1937,0.010897854397998653,projected,91.7611819243654
0-4,1938,0.010543475518345204,projected,94.8453854955173
0-4,1939,0.010200620410781156,projected,98.0332528542174
0-4,1940,0.009868914342694341,projected,101.32826826491505
0-4,1941,0.009547994767112367,projected,104.73403310236976
0-4,1942,0.009237510926446793,projected,108.25426978787345
0-4,1943,0.00893712346912291,projected,111.89282585777457
0-4,1944,0.008646504078677337,projected,115.65367816873463
0-4,1945,0.008365335114914767,projected,119.54093724435197
0-4,1946,0.008093309266735554,projected,123.5588517678568
0-4,1947,0.007830129216251477,projected,127.71181322582703
0-4,1948,0.007575507313823919,projected,132.00436070798617
0-4,1949,0.00732916526367033,projected,136.44118586830936
0-4,1950,0.007090833819692564,projected,141.02713805290628
0-4,1951,0.006860252491197947,projected,145.76722960022985
0-4,1952,0.006637169258188708,projected,150.6666413194503
0-4,1953,0.006421340295909751,projected,155.73072815296482
0-4,1954,0.006212529708354554,projected,160.96502502920976
0-4,1955,0.006010509270435621,projected,166.3752529122251
0-4,1956,0.00581505817854043,projected,171.96732505451877
0-4,1957,0.00562596280919797,projected,177.7473534601198
0-4,1958,0.005443016485593051,projected,183.72165556486343
0-4,1959,0.0052660192516739476,projected,189.89676114118322
0-4,1960,0.005094777653604476,projected,196.27941943502
0-4,1961,0.004929104528324021,projected,202.87660654257152
0-4,1962,0.00476881879898245,projected,209.6955330350098
0-4,1963,0.004613745277027149,projected,216.74365183947617
0-4,1964,0.004463714470726522,projected,224.0286663849353
0-4,1965,0.004318562399918946,projected,231.55853902186726
0-4,1966,0.004178130416786817,projected,239.3414997249052
0-4,1967,0.004042265032457694,projected,247.38605508803087
0-4,1968,0.003910817749244978,projected,255.70099762205996
0-4,1969,0.0037836448983432276,projected,264.29541536465996
0-4,1970,0.003660607482801357,projected,273.1787018133747
0-4,1971,0.003541571025602602,projected,282.36056619247074
0-4,1972,0.0034264054226838614,projected,291.85104406492337
0-4,1973,0.003314984800735361,projected,301.6605083010247
0-4,1974,0.0032071873796239124,projected,311.7996804156993
0-4,1975,0.003102895339289943,projected,322.27964228688325
0-4,1976,0.0030019946909732474,projected,333.1118482677262
0-4,1977,0.002904375152625582,projected,344.30813770596774
0-4,1978,0.0028099300283752726,projected,355.8807478840351
0-4,1979,0.0027185560919109845,projected,367.8423273941201
0-4,1980,0.0026301534736576705,projected,380.20594996281034
0-4,2015,8.269492136256267e-4,projected,1209.2641041590205
0-4,2016,8.000582931606985e-4,projected,1249.9089235728245
0-4,2017,7.740418176937655e-4,projected,1291.9198641999344
0-4,2018,7.488713518257783e-4,projected,1335.3428430156396
0-4,2019,7.24519384826355e-4,projected,1380.2253203199928
0-4,2020,7.009593005652721e-4,projected,1426.6163516106762
0-4,2021,6.781653484215726e-4,projected,1474.5666411996667
0-4,2022,6.561126151388117e-4,projected,1524.1285976317238
0-4,2023,6.347769975954181e-4,projected,1575.3563909657619
0-4,2024,6.141351764605206e-4,projected,1628.3060119815243
0-4,2025,5.941645907065277e-4,projected,1683.0353333760413
0-4,2026,5.748434129503817e-4,projected,1739.6041730173156
0-4,2027,5.561505255968003e-4,projected,1798.0743593236898
0-4,2028,5.380654977572118e-4,projected,1858.509798840929
0-4,2029,5.205685629192502e-4,projected,1920.9765460906608
0-4,2030,5.036405973424729e-4,projected,1985.542875766239
0-4,2031,4.872630991565e-4,projected,2052.2793573556005
0-4,2032,4.714181681389541e-4,projected,2121.2589322718727
0-4,2033,4.560884861509131e-4,projected,2192.556993576712
0-4,2034,4.412572982085709e-4,projected,2266.251468383251
0-4,2035,4.269083941704777e-4,projected,2342.422903028393
0-4,2036,4.1302609102018324e-4,projected,2421.15455110833
0-4,2037,3.995952157251166e-4,projected,2502.532464472509
0-4,2038,3.8660108865276816e-4,projected,2586.6455872765678
0-4,2039,3.740295075262364e-4,projected,2673.585853195967
0-4,2040,3.618667319014524e-4,projected,2763.448285907452
0-4,2041,3.5009946814918184e-4,projected,2856.3311029478264
0-4,2042,3.38714854925435e-4,projected,2952.335823063151
0-4,2043,3.2770044911427826e-4,projected,3051.567377166676
0-4,2044,3.170442122278342e-4,projected,3154.1342230255896
0-4,2045,3.067344972484805e-4,projected,3260.1484638029374
0-4,2046,2.967600358989195e-4,projected,3369.7259705839015
0-4,2047,2.871099263262457e-4,projected,3482.986509019861
0-4,2048,2.777736211864409e-4,projected,3600.0538702298254
0-4,2049,2.6874091611640345e-4,projected,3721.0560061008955
